case,current_status,aor_date,stream,dependents,province,nationality,residence,visa_office,med_passed_date,add_docs_request_date,rprf_paid_date,ss_start_date,final_decision,final_decision_date,state
59519,PPR,2018-10-03,FSW-Outland,2,None,Viet Nam,Viet Nam,Ottawa,2018-10-31,2019-02-15,2018-10-03,None,PPR,2019-04-05,Active
59202,PPR,2018-10-03,FSW-Outland,1,None,Pakistan,Pakistan,London,2018-11-01,None,2018-10-03,None,PPR,2019-02-21,Active
57670,PPR,2018-10-03,FSW-Outland,1,None,Algeria,Algeria,Ottawa,2018-10-31,None,2018-10-03,None,PPR,2019-02-27,Active
57285,PPR,2018-10-03,FSW-Outland,2,None,India,USA,Ottawa,2018-11-01,None,2018-10-03,None,PPR,2019-03-07,Active
57186,PPR,2018-10-03,FSW-Outland,1,None,India,USA,New Delhi,2018-10-31,None,2018-10-03,None,PPR,2019-02-27,Active
59922,PPR,2018-10-03,CEC,0,None,India,Canada,Unspecified,2018-10-31,None,2018-10-03,None,PPR,2019-02-28,Active
58786,Medicals Passed,2018-10-03,CEC,0,None,India,Canada,Unspecified,2018-11-01,None,2018-10-03,None,None,Pending,Inactive
58293,Medicals Passed,2018-10-03,CEC,2,None,Lithuania,Canada,Unspecified,2018-11-01,None,2018-10-03,None,None,Pending,Inactive
57356,PPR,2018-10-03,PNP-Outland,2,New Brunswick,India,UAE,Unspecified,2018-11-10,2018-11-03,2018-10-03,None,PPR,2019-02-04,Active
57402,PPR,2018-10-03,PNP-Inland,2,Ontario,South Korea,Canada,Unspecified,2018-10-31,None,2018-10-03,None,PPR,2018-12-31,Active
59364,PPR,2018-10-03,FSW-Outland,2,None,India,India,Ottawa,2018-11-02,None,2018-10-03,None,PPR,2018-12-11,Active
62471,Medicals Passed,2018-10-03,FSW-Outland,1,None,India,India,Unspecified,2018-10-03,None,2018-10-03,None,None,Pending,Inactive
61512,e-APR AOR,2018-10-03,FSW-Outland,2,None,Russia,Australia,Unspecified,Pending,None,2018-10-03,None,None,Pending,Inactive
58978,e-APR AOR,2018-10-03,FSW-Inland,1,None,Brazil,Unspecified,Unspecified,Pending,None,2018-10-03,None,None,Pending,Inactive
58148,e-APR AOR,2018-10-03,FSW-Outland,0,None,Pakistan,Pakistan,Unspecified,Pending,None,2018-10-03,None,None,Pending,Inactive
57180,e-APR AOR,2018-10-03,FSW-Outland,0,None,China,USA,Unspecified,Pending,None,2018-10-03,None,None,Pending,Inactive
62062,Medicals Passed,2018-10-02,FSW-Outland,2,None,Iran,Iran,Ottawa,2018-10-30,2019-04-04,2018-10-02,None,None,Pending,Active
70406,PPR,2018-10-02,CEC,2,None,United Kingdom,Canada,Ottawa,2018-10-30,None,2018-10-02,None,PPR,2019-07-04,Active
57847,PPR,2018-10-02,FSW-Outland,1,None,India,USA,Montreal,2019-06-25,None,2018-10-02,None,PPR,2019-07-04,Active
57014,Medicals Passed,2018-10-02,FSW-Outland,0,None,China,USA,Unspecified,2018-10-30,None,2018-10-02,None,None,Pending,Active
59584,PPR,2018-10-02,FSW-Outland,0,None,India,Canada,Unspecified,2019-04-15,2018-11-01,2018-10-02,None,PPR,2019-04-15,Active
70640,Medicals Passed,2018-10-02,FSW-Outland,0,None,India,India,Unspecified,2018-10-20,None,2018-10-02,None,None,Pending,Inactive
57196,PPR,2018-10-02,FSW-Outland,2,None,India,UAE,Abu Dhabi,2018-11-01,None,2018-10-02,None,PPR,2019-04-09,Active
65724,PPR,2018-10-02,FSW-Outland,0,None,India,India,New Delhi,2018-10-31,None,2018-10-02,None,PPR,2019-04-15,Active
58598,Medicals Passed,2018-10-02,FSW-Outland,0,None,India,India,Unspecified,2018-11-06,None,2018-10-02,None,None,Pending,Inactive
57056,PPR,2018-10-02,FSW-Outland,0,None,India,Singapore,Singapore,2018-11-01,None,2018-10-02,None,PPR,2019-03-25,Active
69860,Medicals Passed,2018-10-02,FSW-Outland,4,None,India,India,Unspecified,2018-10-31,None,2018-10-02,None,None,Pending,Inactive
57288,Medicals Passed,2018-10-02,FSW-Outland,3,None,India,India,Ottawa,2018-11-01,None,2018-10-02,None,None,Pending,Inactive
68624,e-APR AOR,2018-10-02,FSW-Inland,0,None,Philippines,Canada,Unspecified,Pending,None,2018-10-02,None,None,Pending,Inactive
57077,PPR,2018-10-02,FSW-Outland,2,None,France,Dominica,Mexico,2018-10-30,None,2018-10-02,None,PPR,2019-02-25,Active
64177,PPR,2018-10-02,FSW-Outland,3,None,India,India,New Delhi,2018-10-31,None,2018-10-02,None,PPR,2019-02-25,Active
57623,PPR,2018-10-02,PNP-Outland,1,Saskatchewan,India,India,Sydney,2018-10-31,None,2018-10-02,None,PPR,2019-02-04,Active
58647,PPR,2018-10-02,PNP-Outland,2,Nova Scotia,Pakistan,Qatar,London,2018-10-30,None,2018-10-02,None,PPR,2019-02-11,Active
64143,PPR,2018-10-02,PNP-Outland,3,Manitoba,Philippines,UAE,Unspecified,2018-11-03,None,2018-10-02,None,PPR,2019-01-28,Active
65453,e-APR AOR,2018-10-02,FSW-Outland,1,None,India,India,Unspecified,Pending,None,2018-10-02,None,None,Pending,Inactive
64318,Medicals Passed,2018-10-02,FSW-Outland,2,None,India,India,Unspecified,2018-10-25,None,2018-10-02,None,None,Pending,Inactive
57084,Medicals Passed,2018-10-02,FSW-Outland,4,None,Trinidad and Tobago,Trinidad and Tobago,Unspecified,2018-10-30,2018-11-14,2018-11-14,None,None,Pending,Inactive
57042,PPR,2018-10-02,PNP-Outland,2,Saskatchewan,India,India,New Delhi,2018-10-31,None,2018-10-02,None,PPR,2018-12-24,Active
57657,PPR,2018-10-02,FSW-Outland,1,None,India,India,Unspecified,2018-10-30,None,2018-10-02,None,PPR,2018-12-12,Active
58602,Medicals Passed,2018-10-02,FSW-Outland,2,None,India,India,Unspecified,2018-11-09,None,2018-10-02,None,None,Pending,Inactive
59767,Medicals Passed,2018-10-02,PNP-Inland,0,Yukon,India,Canada,Unspecified,2018-10-31,2018-10-31,2018-10-02,None,None,Pending,Inactive
58780,Medicals Passed,2018-10-02,FSW-Outland,0,None,India,USA,Unspecified,2018-10-31,None,2018-10-02,None,None,Pending,Inactive
59686,Medicals Passed,2018-10-02,FSW-Outland,0,None,India,India,Unspecified,2018-10-31,None,2018-10-02,None,None,Pending,Inactive
59565,e-APR AOR,2018-10-02,FSW-Outland,4,None,Nigeria,Nigeria,Unspecified,Pending,None,2018-10-02,None,None,Pending,Inactive
58742,Medicals Passed,2018-10-02,CEC,2,None,Brazil,Canada,Unspecified,2018-10-30,None,2018-10-02,None,None,Pending,Inactive
57073,e-APR AOR,2018-10-02,CEC,3,None,Egypt,Canada,Unspecified,Pending,None,2018-10-02,None,None,Pending,Inactive
57895,Medicals Passed,2018-10-01,FSW-Outland,3,None,Turkey,Qatar,Paris,2018-10-29,2019-03-08,2018-10-01,2019-03-06,None,Pending,Active
76818,Medicals Passed,2018-10-01,FSW-Outland,0,None,India,India,New Delhi,2018-10-31,2018-10-31,2018-10-01,None,None,Pending,Active
58808,PPR,2018-10-01,FSW-Outland,2,None,Spain,Costa Rica,Ottawa,2018-10-29,None,2018-10-01,None,PPR,2019-05-24,Active
73827,e-APR AOR,2018-10-01,FSW-Outland,0,None,India,India,Unspecified,Pending,None,2018-10-01,None,None,Pending,Inactive
68231,PPR,2018-10-01,FSW-Outland,2,None,India,Unspecified,Ottawa,2018-11-01,2019-04-18,2018-10-01,None,PPR,2019-04-24,Active
64537,PPR,2018-10-01,FSW-Outland,0,None,India,India,New Delhi,2018-11-01,2019-04-19,2018-10-01,None,PPR,2019-04-23,Active
57311,PPR,2018-10-01,FSW-Outland,4,None,Viet Nam,Viet Nam,Ottawa,2018-10-30,None,2018-10-01,None,PPR,2019-04-17,Active
57027,PPR,2018-10-01,FSW-Outland,4,None,Ukraine,Russia,Ottawa,2018-10-30,None,2018-11-11,None,PPR,2019-04-16,Active
70428,PPR,2018-10-01,FSW-Outland,2,None,India,India,Ottawa,2018-10-30,None,2018-10-01,None,PPR,2019-04-13,Active
61564,PPR,2018-10-01,FSW-Outland,4,None,India,USA,Montreal,2018-10-30,None,2018-10-01,None,PPR,2019-03-20,Active
70655,Medicals Passed,2018-10-01,FSW-Outland,0,None,India,India,Unspecified,2018-10-31,None,2018-10-01,None,None,Pending,Inactive
58357,PPR,2018-10-01,CEC,2,None,Honduras,Canada,Vancouver,2018-10-30,None,2018-10-01,None,PPR,2019-03-18,Active
69293,e-APR AOR,2018-10-01,PNP-Outland,0,None,India,Unspecified,Unspecified,Pending,None,2018-10-01,None,None,Pending,Inactive
60610,PPR,2018-10-01,FSW-Outland,1,None,India,India,New Delhi,2018-10-30,None,2018-10-01,None,PPR,2019-02-25,Active
66919,Medicals Passed,2018-10-01,FSW-Inland,1,None,South Korea,Canada,Ottawa,2018-11-01,None,2018-10-01,None,None,Pending,Inactive
67201,Medicals Passed,2018-10-01,FSW-Outland,2,None,India,India,Unspecified,2018-11-01,None,2018-10-01,None,None,Pending,Inactive
58599,Medicals Passed,2018-10-01,FSW-Outland,2,None,India,India,Unspecified,2018-10-30,None,2018-10-01,None,None,Pending,Inactive
65638,Medicals Passed,2018-10-01,FSW-Outland,0,None,India,Unspecified,Unspecified,2018-11-01,None,2018-10-01,None,None,Pending,Inactive
58583,PPR,2018-10-01,FSW-Outland,2,None,Bangladesh,Qatar,London,2018-10-30,None,2018-10-01,None,PPR,2019-01-03,Active
58854,Medicals Passed,2018-10-01,FSW-Outland,0,None,India,India,Unspecified,2018-11-01,None,2018-10-01,None,None,Pending,Inactive
59569,e-APR AOR,2018-10-01,PNP-Outland,2,Saskatchewan,India,India,Unspecified,Pending,None,2018-10-01,None,None,Pending,Inactive
59542,Medicals Passed,2018-10-01,FSW-Outland,1,None,Nigeria,Nigeria,Unspecified,2018-10-30,None,2018-10-01,None,None,Pending,Inactive
57669,e-APR AOR,2018-10-01,PNP-Outland,5,Nova Scotia,Nigeria,Nigeria,Unspecified,Pending,None,2018-10-01,None,None,Pending,Inactive
56988,e-APR AOR,2018-10-01,CEC,2,None,Brazil,Unspecified,Unspecified,Pending,None,2018-10-01,None,None,Pending,Inactive
56986,e-APR AOR,2018-10-01,FSW-Outland,0,None,Russia,Russia,Unspecified,Pending,None,2018-10-01,None,None,Pending,Inactive
60448,PPR,2018-09-30,FSW-Outland,0,None,India,India,Ottawa,2018-10-29,None,2018-09-30,None,PPR,2019-07-26,Active
68452,PPR,2018-09-30,CEC,2,None,India,Canada,Vancouver,2018-10-29,None,2018-09-30,2018-10-10,PPR,2019-07-11,Active
70743,PPR,2018-09-30,FSW-Outland,2,None,Turkey,Turkey,Ottawa,2018-10-30,2018-11-02,2018-09-30,None,PPR,2019-04-26,Active
57743,Medicals Passed,2018-09-30,PNP-Outland,1,Ontario,Syrian Arab Republic,Syrian Arab Republic,Paris,2018-10-30,None,2018-09-30,None,None,Pending,Active
56902,PPR,2018-09-30,CEC,2,None,India,Canada,Vancouver,2018-10-30,2019-02-13,2018-09-30,None,PPR,2019-06-13,Active
58334,PPR,2018-09-30,FSW-Outland,3,None,Bangladesh,Sri Lanka,Unspecified,2018-10-30,2019-03-14,2018-09-30,None,PPR,2019-03-29,Active
57032,PPR,2018-09-30,FSW-Outland,2,None,India,India,Ottawa,2018-10-30,None,2018-09-30,None,PPR,2019-05-06,Active
73066,Medicals Passed,2018-09-30,CEC,0,None,Australia,Canada,Unspecified,2019-01-01,None,2018-09-30,None,None,Pending,Inactive
72667,Medicals Passed,2018-09-30,FSW-Outland,2,None,India,India,Unspecified,2018-10-30,None,2018-11-10,None,None,Pending,Inactive
66706,Medicals Passed,2018-09-30,FSW-Outland,0,None,India,India,Unspecified,2018-10-31,None,2018-09-30,None,None,Pending,Inactive
57419,PPR,2018-09-30,FSW-Outland,2,None,India,Saudi Arabia,Ottawa,2018-10-30,None,2018-09-30,None,PPR,2019-04-11,Active
59288,PPR,2018-09-30,FSW-Outland,1,None,Nigeria,Nigeria,Ottawa,2018-10-30,2019-03-22,2018-09-30,None,PPR,2019-04-02,Active
71046,Medicals Passed,2018-09-30,FSW-Outland,0,None,Morocco,Qatar,London,2018-10-30,None,2018-09-30,None,None,Pending,Inactive
56916,PPR,2018-09-30,FSW-Outland,2,None,India,Singapore,Ottawa,2018-10-30,2018-11-08,2018-11-07,None,PPR,2019-03-18,Active
69223,Medicals Passed,2018-09-30,FSW-Outland,0,None,India,India,Unspecified,2018-11-29,None,2018-09-30,None,None,Pending,Inactive
69393,Medicals Passed,2018-09-30,FSW-Outland,1,None,China,China,Montreal,2018-10-30,None,2018-09-30,None,None,Pending,Inactive
56972,PPR,2018-09-30,FSW-Outland,1,None,India,USA,Unspecified,2018-10-30,None,2018-09-30,None,PPR,2019-01-31,Active
62166,e-APR AOR,2018-09-30,FSW-Inland,0,None,Nigeria,Nigeria,Accra,Pending,2019-01-11,2018-09-30,None,None,Pending,Inactive
58958,Medicals Passed,2018-09-30,FSW-Outland,1,None,India,India,Unspecified,2018-10-30,None,2018-11-08,None,None,Pending,Inactive
59256,Medicals Passed,2018-09-30,PNP-Outland,2,Nova Scotia,Bangladesh,Bangladesh,Unspecified,2018-10-29,2018-11-22,2018-09-30,None,None,Pending,Inactive
56987,Medicals Passed,2018-09-30,FSW-Outland,1,None,Nigeria,Nigeria,Unspecified,2018-10-29,None,2018-09-30,None,None,Pending,Inactive
60242,Medicals Passed,2018-09-30,FSW-Outland,2,None,India,India,Unspecified,2018-10-30,None,2018-09-01,None,None,Pending,Inactive
59912,Medicals Passed,2018-09-30,FSW-Inland,1,None,Nigeria,Canada,Ottawa,2018-10-29,None,2018-09-30,None,None,Pending,Inactive
56895,Medicals Passed,2018-09-30,FSW-Outland,3,None,India,India,Unspecified,2018-10-30,None,2018-09-30,None,None,Pending,Inactive
56896,Medicals Passed,2018-09-30,FSW-Outland,3,None,India,India,Unspecified,2018-10-30,None,2018-09-30,None,None,Pending,Inactive
74603,PPR,2018-09-29,FSW-Inland,2,None,Brazil,Canada,Unspecified,2019-04-08,None,2018-09-29,None,PPR,2019-05-22,Active
59908,Medicals Passed,2018-09-29,FSW-Inland,1,None,India,Canada,Unspecified,2019-01-11,None,2018-09-29,None,None,Pending,Inactive
58361,PPR,2018-09-29,CEC,0,None,India,Canada,Unspecified,2018-11-07,None,2018-09-29,None,PPR,2019-04-08,Active
59370,PPR,2018-09-29,FSW-Outland,2,None,India,India,Ottawa,2018-10-29,None,2019-02-26,None,PPR,2019-04-04,Active
65078,Medicals Passed,2018-09-29,FSW-Outland,0,None,India,India,Unspecified,2018-11-01,None,2018-09-29,None,None,Pending,Inactive
58479,PPR,2018-09-29,FSW-Outland,0,None,India,USA,Sydney,2018-10-29,None,2018-09-29,None,PPR,2019-01-31,Active
56771,PPR,2018-09-29,FSW-Outland,1,None,India,India,Unspecified,2018-10-29,None,2018-09-29,None,PPR,2019-03-06,Active
58431,PPR,2018-09-29,FSW-Outland,3,None,India,India,Ottawa,2018-10-29,None,2018-09-29,None,PPR,2019-02-28,Active
57302,PPR,2018-09-29,CEC,1,None,Egypt,Canada,Ottawa,2018-10-29,None,2018-09-29,None,PPR,2019-02-22,Active
56814,PPR,2018-09-29,FSW-Outland,3,None,Russia,Russia,Warsaw,2018-10-29,None,2018-09-29,None,PPR,2019-02-21,Active
61322,PPR,2018-09-29,FSW-Outland,1,None,India,India,Unspecified,2018-10-31,None,2018-09-29,None,PPR,2019-02-11,Active
57141,Medicals Passed,2018-09-29,FSW-Outland,1,None,India,India,Unspecified,2018-10-29,None,2018-09-29,None,None,Pending,Inactive
58590,PPR,2018-09-29,PNP-Outland,2,Ontario,India,India,Ottawa,2018-10-29,2018-11-26,2018-12-01,None,PPR,2019-01-28,Active
56842,PPR,2018-09-29,FSW-Inland,2,None,India,Canada,Ottawa,2018-10-29,None,2018-09-29,None,PPR,2019-01-31,Active
57950,PPR,2018-09-29,FSW-Outland,1,None,China,Canada,Unspecified,2018-10-30,None,2018-09-29,None,PPR,2019-01-31,Active
56844,PPR,2018-09-29,FSW-Outland,0,None,India,USA,Unspecified,2018-11-06,2018-10-29,2018-09-29,None,PPR,2019-01-31,Active
58259,Medicals Passed,2018-09-29,FSW-Outland,2,None,India,India,Unspecified,2018-11-02,None,2018-09-29,None,None,Pending,Inactive
56824,Medicals Passed,2018-09-29,CEC,4,None,Jamaica,Canada,Unspecified,2018-10-26,2018-10-26,2018-09-28,None,None,Pending,Inactive
57800,Medicals Passed,2018-09-29,FSW-Outland,2,None,India,India,Unspecified,2018-10-29,None,2018-09-29,None,None,Pending,Inactive
57152,e-APR AOR,2018-09-29,FSW-Outland,0,None,India,Unspecified,Unspecified,Pending,None,2018-09-29,None,None,Pending,Inactive
56999,e-APR AOR,2018-09-29,FSW-Outland,4,None,Nigeria,Nigeria,Unspecified,Pending,None,2018-09-29,None,None,Pending,Inactive
72145,PPR,2018-09-28,CEC,2,None,Mexico,Canada,Sydney,2018-10-26,2019-05-15,2018-09-28,2018-10-26,PPR,2019-07-08,Active
60615,PPR,2018-09-28,FSW-Outland,2,None,Turkey,Turkey,Unspecified,2018-11-14,None,2018-09-28,None,PPR,2019-04-05,Active
67984,PPR,2018-09-28,CEC,2,None,India,Canada,Ottawa,2018-10-25,None,2018-09-28,None,PPR,2019-03-20,Active
60993,PPR,2018-09-28,FSW-Outland,0,None,India,India,Unspecified,Pending,None,2018-09-28,None,PPR,2019-02-15,Active
56855,PPR,2018-09-28,FSW-Outland,1,None,India,India,Ottawa,2018-10-27,None,2018-09-28,None,PPR,2019-03-12,Active
66859,PPR,2018-09-28,FSW-Outland,1,None,India,India,Ottawa,2018-10-27,None,2018-09-28,None,PPR,2019-02-28,Active
57919,PPR,2018-09-28,FSW-Outland,0,None,India,India,Unspecified,2018-10-30,None,2018-09-28,None,PPR,2019-02-28,Active
56969,PPR,2018-09-28,FSW-Outland,1,None,India,USA,Sydney,2018-10-27,None,2018-09-28,None,PPR,2019-01-31,Active
58739,PPR,2018-09-28,FSW-Outland,1,None,India,India,Ottawa,2018-10-26,None,2018-09-28,None,PPR,2019-02-20,Active
59703,PPR,2018-09-28,CEC,0,None,India,Canada,Ottawa,2018-10-28,None,2018-09-28,None,PPR,2019-02-20,Active
57905,Medicals Passed,2018-09-28,FSW-Outland,1,None,India,India,Ottawa,2018-10-27,None,2018-09-28,None,None,Pending,Inactive
61062,PPR,2018-09-28,FSW-Outland,3,None,India,India,Unspecified,2018-10-27,None,2018-09-28,None,PPR,2019-02-08,Active
62136,PPR,2018-09-28,FSW-Outland,1,None,China,USA,Sydney,2018-10-28,2019-01-21,2018-09-27,None,PPR,2019-01-31,Active
57050,PPR,2018-09-28,PNP-Outland,0,New Brunswick,Russia,Russia,Unspecified,2018-10-27,None,2018-09-28,None,PPR,2019-01-23,Active
65552,PPR,2018-09-28,FSW-Outland,3,None,Bangladesh,Unspecified,Unspecified,2018-10-27,2018-10-27,2018-09-28,None,PPR,2019-01-28,Active
59360,e-APR AOR,2018-09-28,PNP-Outland,0,None,India,Saudi Arabia,Unspecified,Pending,None,2018-09-28,None,None,Pending,Inactive
57826,Medicals Passed,2018-09-28,FSW-Outland,3,None,Nigeria,Nigeria,Ottawa,2018-10-26,None,2018-09-28,None,None,Pending,Inactive
60879,Medicals Passed,2018-09-28,FSW-Outland,1,None,United Kingdom,United Kingdom,Unspecified,2018-10-29,None,2018-09-28,None,None,Pending,Inactive
59188,Medicals Passed,2018-09-28,FSW-Outland,1,None,India,India,Unspecified,2018-10-27,None,2018-09-28,None,None,Pending,Inactive
61429,PPR,2018-09-27,CEC,2,None,India,Canada,Unspecified,Pending,None,2018-09-27,None,PPR,2019-06-03,Active
56627,Medicals Passed,2018-09-27,FSW-Outland,4,None,India,India,Unspecified,2018-10-25,None,2018-09-27,None,None,Pending,Inactive
67449,PPR,2018-09-27,FSW-Outland,1,None,India,India,Ottawa,2018-10-27,None,2018-09-27,None,PPR,2019-02-26,Active
58297,Medicals Passed,2018-09-27,FSW-Outland,3,None,China,USA,Unspecified,2018-10-31,None,2018-09-27,None,None,Pending,Inactive
72763,PPR,2018-09-27,FSW-Outland,2,None,India,USA,Ottawa,2018-10-26,2019-03-15,2018-09-27,None,PPR,2019-04-16,Active
58732,PPR,2018-09-27,FSW-Outland,4,None,Albania,Albania,Rome,2018-10-26,None,2018-09-27,None,PPR,2019-04-18,Active
57799,PPR,2018-09-27,FSW-Outland,0,None,India,India,Ottawa,2018-10-26,None,2018-09-27,None,PPR,2019-02-28,Active
68689,PPR,2018-09-27,PNP-Inland,1,None,Romania,Unspecified,Unspecified,2018-10-27,None,2018-09-27,None,PPR,2019-04-04,Active
57338,PPR,2018-09-27,FSW-Outland,0,None,India,India,Unspecified,2018-10-26,None,2018-09-27,None,PPR,2019-03-20,Active
57803,PPR,2018-09-27,FSW-Outland,2,None,India,USA,Ottawa,2018-10-25,None,2018-09-27,None,PPR,2019-02-27,Active
58707,PPR,2018-09-27,FSW-Outland,2,None,Russia,Russia,Ottawa,2018-10-25,None,2018-09-27,None,PPR,2019-02-28,Active
56676,PPR,2018-09-27,FSW-Outland,2,None,India,India,Ottawa,2018-10-26,None,2018-09-27,None,PPR,2019-02-26,Active
62278,PPR,2018-09-27,FSW-Outland,0,None,India,India,Unspecified,2018-10-27,None,2018-09-27,None,PPR,2019-02-20,Active
56706,PPR,2018-09-27,FSW-Outland,3,None,Morocco,Morocco,Rabat,2018-10-26,None,2018-09-27,None,PPR,2019-02-15,Active
67257,Medicals Passed,2018-09-27,CEC,0,None,India,Canada,Sydney,2018-10-27,None,2018-09-27,None,None,Pending,Inactive
67102,Medicals Passed,2018-09-27,FSW-Outland,3,None,France,France,Unspecified,2018-10-10,None,2018-09-27,None,None,Pending,Inactive
66927,Medicals Passed,2018-09-27,FSW-Outland,2,None,India,USA,Montreal,2018-10-26,None,2018-09-27,None,None,Pending,Inactive
57489,PPR,2018-09-27,FSW-Outland,2,None,Nigeria,Nigeria,Ottawa,2018-10-25,None,2018-09-27,None,PPR,2019-01-25,Active
65839,e-APR AOR,2018-09-27,CEC,0,None,"Taiwan, Province of China",Unspecified,Vancouver,Pending,None,2018-09-27,None,None,Pending,Inactive
63042,e-APR AOR,2018-09-27,CEC,0,None,Turkey,Canada,Unspecified,Pending,None,2018-09-27,None,None,Pending,Inactive
58893,Medicals Passed,2018-09-27,FSW-Outland,2,None,India,USA,Unspecified,2018-10-25,None,2018-09-27,None,None,Pending,Inactive
61770,Medicals Passed,2018-09-27,FSW-Outland,0,None,India,India,Unspecified,2018-10-26,None,2018-09-27,None,None,Pending,Inactive
60763,Medicals Passed,2018-09-27,FSW-Outland,2,None,Nigeria,Nigeria,Unspecified,2018-10-25,None,2018-09-26,None,None,Pending,Inactive
60249,Medicals Passed,2018-09-27,FSW-Outland,1,None,India,India,Unspecified,2018-11-06,None,2018-09-27,None,None,Pending,Inactive
56751,Refused,2018-09-27,FSW-Outland,2,None,Poland,Ireland,Unspecified,Pending,None,2018-09-27,None,Refused,2018-10-25,Active
56745,Medicals Passed,2018-09-27,FSW-Outland,1,None,India,India,Unspecified,2018-10-26,None,2018-09-27,None,None,Pending,Inactive
58540,e-APR AOR,2018-09-27,CEC,0,None,Nigeria,Canada,Unspecified,Pending,None,2018-09-27,None,None,Pending,Inactive
56787,Medicals Passed,2018-09-27,FSW-Inland,0,None,India,Canada,Unspecified,2018-10-16,None,2018-09-27,None,None,Pending,Inactive
56703,e-APR AOR,2018-09-27,CEC,0,None,China,Canada,Unspecified,Pending,None,2018-09-27,None,None,Pending,Inactive
75029,Medicals Passed,2018-09-26,PNP-Outland,1,None,Nigeria,Unspecified,Accra,2018-10-26,None,2018-09-26,None,None,Pending,Inactive
58698,PPR,2018-09-26,PNP-Outland,2,None,China,China,Hong Kong SAR,2018-10-26,2019-04-04,2018-09-26,None,PPR,2019-04-30,Active
59027,PPR,2018-09-26,CEC,4,None,India,Canada,Ottawa,2018-10-25,None,2018-09-26,None,PPR,2019-04-29,Active
60746,PPR,2018-09-26,CEC,2,None,Colombia,Canada,Unspecified,2018-10-26,2018-10-26,2018-09-26,None,PPR,2019-04-09,Active
56738,PPR,2018-09-26,FSW-Outland,0,None,India,India,Unspecified,2018-10-25,None,2018-09-26,None,PPR,2019-03-26,Active
58970,PPR,2018-09-26,FSW-Outland,3,None,India,India,Ottawa,2018-10-25,None,2019-02-22,None,PPR,2019-04-03,Active
56667,PPR,2018-09-26,CEC,1,None,China,Canada,Ottawa,2018-10-26,None,2018-09-26,None,PPR,2019-03-26,Active
58645,PPR,2018-09-26,FSW-Outland,2,None,India,India,Ottawa,2018-10-25,None,2018-09-26,None,PPR,2019-03-26,Active
57536,PPR,2018-09-26,FSW-Outland,2,None,India,India,Unspecified,2018-10-26,None,2018-09-26,None,PPR,2019-03-22,Active
56697,Medicals Passed,2018-09-26,FSW-Outland,2,None,Iran,New Zealand,Ottawa,2018-10-30,2019-03-12,2018-09-26,None,None,Pending,Inactive
58439,PPR,2018-09-26,PNP-Outland,3,Ontario,Algeria,Algeria,Paris,2018-12-03,None,2018-09-26,None,PPR,2019-03-07,Active
56642,PPR,2018-09-26,FSW-Outland,1,None,India,India,Ottawa,2018-10-25,None,2018-09-26,None,PPR,2019-02-21,Active
56813,PPR,2018-09-26,FSW-Outland,0,None,India,India,Unspecified,2018-10-25,None,2018-09-26,None,PPR,2019-02-27,Active
58193,PPR,2018-09-26,FSW-Outland,1,None,Jamaica,Virgin Islands (British),Unspecified,2018-10-25,None,2018-09-26,None,PPR,2019-02-28,Active
57550,PPR,2018-09-26,FSW-Outland,0,None,India,India,Ottawa,2018-10-25,None,2018-09-26,None,PPR,2019-02-27,Active
60959,PPR,2018-09-26,FSW-Outland,3,None,India,India,Unspecified,2018-10-26,None,2018-09-26,None,PPR,2019-02-19,Active
62452,PPR,2018-09-26,FSW-Outland,1,None,India,India,Ottawa,2018-10-25,None,2018-09-25,None,PPR,2019-02-22,Active
56973,PPR,2018-09-26,CEC,2,None,Brazil,Canada,Unspecified,2018-10-25,2018-10-25,2018-09-26,None,PPR,2019-02-20,Active
68069,Medicals Passed,2018-09-26,CEC,4,None,Egypt,Egypt,Unspecified,2018-10-24,None,2018-09-26,None,None,Pending,Inactive
57711,Medicals Passed,2018-09-26,FSW-Outland,0,None,Nigeria,Nigeria,Ottawa,2018-10-25,2018-12-04,2018-12-04,None,None,Pending,Inactive
66301,Medicals Passed,2018-09-26,FSW-Outland,2,None,Jamaica,Jamaica,Ottawa,2018-10-24,2018-11-27,2018-09-25,None,None,Pending,Inactive
59355,PPR,2018-09-26,FSW-Outland,5,None,Nigeria,Nigeria,Ottawa,2018-10-25,2018-12-11,2018-09-26,None,PPR,2019-01-23,Active
66031,PPR,2018-09-26,FSW-Outland,2,None,Nigeria,Nigeria,Unspecified,2018-10-26,None,2018-09-26,None,PPR,2019-01-26,Active
56630,Medicals Passed,2018-09-26,FSW-Outland,3,None,India,India,Unspecified,2018-11-30,None,2018-09-26,None,None,Pending,Inactive
56619,PPR,2018-09-26,FSW-Outland,3,None,Azerbaijan,Czechia,Vienna,2018-10-25,None,2018-09-26,None,PPR,2018-12-19,Active
61156,Medicals Passed,2018-09-26,CEC,0,None,India,India,Unspecified,2018-10-24,None,2018-09-26,None,None,Pending,Inactive
60475,e-APR AOR,2018-09-26,FSW-Outland,0,None,India,Unspecified,Unspecified,Pending,None,2018-09-26,None,None,Pending,Inactive
57215,Medicals Passed,2018-09-26,CEC,1,None,Philippines,Canada,Unspecified,2018-10-25,2018-11-06,2018-11-07,None,None,Pending,Inactive
60071,Medicals Passed,2018-09-26,FSW-Outland,2,None,Syrian Arab Republic,UAE,Unspecified,2018-10-25,2018-10-25,2018-09-26,None,None,Pending,Inactive
